City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Padang,ID,78.13,broken clouds,-0.9492,100.3543,Mercure Padang
251,Jabinyanah,TN,76.23,broken clouds,35.035,10.9081,maison belmabrouk
254,Umm Lajj,SA,81.28,clear sky,25.0213,37.2685,Moon light Furnished Units
256,San Patricio,US,87.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
266,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
272,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
274,Karema,TZ,78.12,broken clouds,-6.8205,30.4389,
277,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
284,Galle,LK,79.68,broken clouds,6.0367,80.217,Amangalla
290,Palmerston,AU,80.58,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
292,Meiktila,MM,79.11,few clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
297,Lata,PT,79.03,clear sky,40.1629,-8.3327,Casa Maquia
300,Sarangani,PH,83.82,overcast clouds,5.4033,125.4636,Ballistic Islet
301,Tomatlan,MX,88.5,overcast clouds,19.9333,-105.25,El Salvial
302,Ormara,PK,80.55,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
303,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
305,Petatlan,MX,89.4,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
308,Banda Aceh,ID,79.21,overcast clouds,5.5577,95.3222,Sulthan Hotel International
309,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
313,Sibolga,ID,76.01,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
315,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
316,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
