City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Atuona,PF,-9.8,-139.0333,78.51,77,74,22.62,broken clouds
127,Kavieng,PG,-2.5744,150.7967,78.62,80,100,2.55,moderate rain
128,Katsuura,JP,35.1333,140.3,71.19,79,100,12.62,overcast clouds
129,Tura,IN,25.5198,90.2201,74.01,89,2,2.55,clear sky
130,La Rioja,ES,42.25,-2.5,62.04,61,100,3.65,overcast clouds
131,Alice Springs,AU,-23.7,133.8833,60.35,88,90,8.05,overcast clouds
132,Sorkjosen,NO,69.8,20.9333,44.6,87,40,3.44,scattered clouds
133,Kramat,ID,-8.1311,113.4499,71.8,86,80,0.72,broken clouds
134,Torbay,CA,47.6666,-52.7314,63.75,54,75,19.57,broken clouds
135,Chicama,PE,-7.8447,-79.1469,63.14,61,47,10.42,scattered clouds
136,Fortuna,US,40.5982,-124.1573,57.18,63,1,7.0,clear sky
137,Chaoyang,CN,41.5703,120.4586,48.81,71,100,3.91,light rain
138,Nanortalik,GL,60.1432,-45.2371,41.67,59,100,4.7,overcast clouds
139,Kenora,CA,49.8167,-94.4337,68.97,60,75,17.27,broken clouds
140,Touros,BR,-5.1989,-35.4608,88.7,62,100,17.4,overcast clouds
141,Lianzhou,CN,24.7811,112.3825,73.65,68,36,4.34,light rain
142,Sorland,NO,67.667,12.6934,46.26,76,100,20.33,overcast clouds
143,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,26.46,scattered clouds
144,La Baule-Escoublac,FR,47.2922,-2.364,61.88,74,0,8.05,clear sky
145,Princeton,US,25.5384,-80.4089,92.01,72,75,10.36,broken clouds
146,Bo Phloi,TH,14.3236,99.5161,75.69,92,99,3.22,light rain
147,Mount Gambier,AU,-37.8333,140.7667,42.71,87,40,5.75,scattered clouds
148,Cascais,PT,38.6979,-9.4215,84.61,54,0,11.5,clear sky
149,Ibra,OM,22.6906,58.5334,83.1,57,0,11.65,clear sky
150,Banjar,ID,-8.19,114.9675,76.91,88,41,7.92,scattered clouds
151,Norman Wells,CA,65.282,-126.8329,26.64,93,75,5.75,light snow
152,Tirumullaivasal,IN,11.2333,79.8333,81.16,81,88,13.24,overcast clouds
153,Nikolskoye,RU,59.7035,30.7861,55.87,65,64,12.39,broken clouds
154,Plettenberg Bay,ZA,-34.0527,23.3716,60.98,93,5,11.61,clear sky
155,Saryg-Sep,RU,51.5,95.6,39.79,47,98,2.06,overcast clouds
156,Hualmay,PE,-11.0964,-77.6139,68.16,73,86,10.38,overcast clouds
157,Carnarvon,AU,-24.8667,113.6333,62.67,72,0,17.27,clear sky
158,Sambava,MG,-14.2667,50.1667,72.12,76,96,5.46,overcast clouds
159,Lorengau,PG,-2.0226,147.2712,76.84,83,100,7.05,overcast clouds
160,Port Hedland,AU,-20.3167,118.5667,66.25,88,1,6.91,clear sky
161,Carambei,BR,-24.9178,-50.0972,74.43,64,90,5.93,moderate rain
162,Raudeberg,NO,61.9875,5.1352,51.87,93,100,1.99,overcast clouds
163,Novikovo,RU,51.1537,37.8879,41.92,43,29,8.48,scattered clouds
164,Kushmurun,KZ,52.4503,64.6311,36.91,61,8,2.08,clear sky
165,Puerto Del Rosario,ES,28.5004,-13.8627,78.48,73,20,13.8,few clouds
166,Marsh Harbour,BS,26.5412,-77.0636,83.62,71,44,14.7,scattered clouds
167,Bengkulu,ID,-3.8004,102.2655,75.15,91,42,3.31,scattered clouds
168,Lavrentiya,RU,65.5833,-171.0,36.41,99,100,7.61,light rain
169,Snina,SK,48.9886,22.151,55.99,68,100,3.38,overcast clouds
170,Shirgaon,IN,19.7,72.7,83.61,80,95,6.51,light rain
171,Mecca,SA,21.4267,39.8261,88.95,37,14,4.92,few clouds
172,Kedainiai,LT,55.2883,23.9747,57.67,56,74,16.15,broken clouds
173,Faya,SA,18.3851,42.4509,69.91,46,87,4.27,overcast clouds
174,Ceres,US,37.5949,-120.9577,74.05,71,20,6.91,few clouds
175,Venice,US,27.0998,-82.4543,92.05,66,20,5.01,few clouds
176,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,19,0,18.41,clear sky
177,Galdar,ES,28.147,-15.6502,75.7,71,33,10.87,scattered clouds
178,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,40,6.91,light rain
179,Yellowknife,CA,62.456,-114.3525,37.42,100,90,4.0,mist
180,Kaitangata,NZ,-46.2817,169.8464,47.59,95,81,2.01,broken clouds
181,Klaksvik,FO,62.2266,-6.589,45.52,79,85,15.28,overcast clouds
182,Pevek,RU,69.7008,170.3133,26.33,81,100,15.08,overcast clouds
183,Tuatapere,NZ,-46.1333,167.6833,49.82,93,52,4.56,broken clouds
184,Mazagao,BR,-0.115,-51.2894,96.85,41,50,4.61,scattered clouds
185,Mount Isa,AU,-20.7333,139.5,71.37,33,15,1.14,few clouds
186,Yakeshi,CN,49.2833,120.7333,35.49,59,90,5.41,overcast clouds
187,Kirensk,RU,57.7853,108.1119,27.21,83,90,4.79,overcast clouds
188,Aykhal,RU,66.0,111.5,25.9,93,100,18.37,overcast clouds
189,Trelew,AR,-43.249,-65.3051,59.27,13,0,10.25,clear sky
190,Fort-Shevchenko,KZ,44.5086,50.263,52.12,45,99,22.93,overcast clouds
191,Maldonado,UY,-34.6667,-54.9167,58.39,66,73,17.63,broken clouds
192,Le Havre,FR,49.4938,0.1077,59.92,72,20,14.97,few clouds
193,Kavaratti,IN,10.5669,72.642,80.83,80,100,12.15,overcast clouds
194,Vokhtoga,RU,58.8147,41.0461,39.94,85,46,5.19,scattered clouds
195,Leshukonskoye,RU,64.8989,45.7622,47.34,76,100,11.01,overcast clouds
196,Malinovskiy,RU,61.1953,62.8397,40.71,81,14,7.94,few clouds
197,Beringovskiy,RU,63.05,179.3167,31.71,83,99,14.07,overcast clouds
198,Itaiba,BR,-8.9475,-37.4228,92.53,22,68,14.05,broken clouds
